country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,171,9.2,5,2,3,2,1,33,8,1,3,710,5,2,16,1,3,134,4,1/1/1987,3,0,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,172,9.2,8,1,7,2,1,33,7,1,3,522,3,2,6,1,1,20,3,1/1/1999,2,0,1,3,3,4,2,4,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,173,9.2,7,3,4,3,1,44,2,1,3,710,9999,2,0,1,1,20,4,1/1/1979,3,2,1,3,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2
1,87,1,1/1/2001,174,9.2,4,1,3,2,1,23,10,1,3,830,5,2,9,1,1,20,3,1/1/1997,2,0,1,3,3,4,9999,2,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,175,9.2,9,5,5,3,1,49,6,1,3,526,3,2,3,1,1,20,1,1/1/1975,4,2,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,176,9.2,4,2,2,3,1,75,6,1,3,126,9999,2,6,1,1,20,4,1/1/1952,2,0,1,3,3,6,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,177,9.2,2,2,0,5,1,60,3,1,3,136,3,2,0,1,3,542,3,1/1/1960,0,0,1,3,3,10,2,3,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,178,9.2,3,1,2,2,1,27,6,1,3,522,3,2,9,1,1,20,4,1/1/1997,0,1,1,3,2,3,2,3,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,179,9.2,2,1,1,3,1,50,2,1,3,522,3,2,5,1,1,20,4,1/1/1971,1,0,1,3,3,4,2,3,1,1,1,1,1,1,2,1,1,2,2
1,87,1,1/1/2001,180,9.2,6,3,3,3,1,44,6,1,3,215,3,2,6,1,1,20,4,1/1/1976,3,1,1,3,3,4,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,181,9.2,7,4,3,3,1,55,1,1,1,53,3,2,1,1,1,20,4,1/1/1969,3,2,1,3,2,3,1,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,182,9.2,3,1,2,3,1,46,5,1,3,215,3,2,5,1,1,20,4,1/1/1979,0,0,1,3,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,183,9.2,8,2,6,3,1,45,8,1,3,215,3,2,9,1,3,520,4,1/1/1981,4,2,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,2
